date,loss_amount,SSI,rainfall_7day
2020-01-14,48585.182779948074,0.1540761008284099,25.758375477039944
2020-01-15,42329.66621645238,0.12130700423247905,34.16533678192013
2020-01-21,25031.326045128033,0.11955902342420585,32.63108715652167
2020-01-22,40483.381895600614,0.1708970109407577,48.88410230128864
2020-02-04,26577.07006646781,0.14652034649591283,38.49268913898436
2020-02-10,27455.57486375324,0.22692605425790185,48.32229779269589
2020-03-05,35283.30463969084,0.3154778442050346,43.98427696766043
2020-03-28,35151.61933025291,0.27590069352773894,69.12189392788946
2020-04-01,40907.42377104271,0.2775657819244338,54.932000750403006
2020-04-05,281505.61052262655,0.305290163516406,56.29973762344599
2020-04-08,96366.27165889055,0.3470514472630099,59.7143166025448
2020-05-01,40001.06340398864,0.3399382123708938,46.263723398534715
2020-05-10,26295.941852413962,0.2896891733976882,40.88593448621731
2020-05-14,38465.20719713249,0.29573412906185215,44.70215906853825
2020-06-10,31096.908396552608,0.3703114021031473,55.96083661076916
2020-06-15,35959.91706038778,0.3062158779368788,68.17499621811993
2020-07-06,28931.26511845201,0.313560499463743,82.14485803092668
2020-07-08,59223.5373383493,0.37255940506882346,55.83214565666941
2020-07-08,82536.15552261892,0.3482554203808883,58.21050611303297
2020-07-19,226226.06224115667,0.4076216717983732,54.83822793744863
2020-07-20,133414.27701801356,0.3693774321751536,46.58531999332162
2020-07-24,26521.465613201424,0.3838804027255952,58.06109279161859
2020-07-25,144780.27617267543,0.4469872489652818,58.180363818506585
2020-08-04,50015.98191983204,0.33486780609936473,59.25235024049414
2020-08-18,87782.15714190048,0.36140873307364735,75.23503971206604
2020-08-18,38432.89917443414,0.2740658851748049,48.27248639220949
2020-08-29,129536.31924654674,0.3728008852024434,64.14060312022873
2020-09-09,50043.78815016948,0.32203199181131853,47.5114426600848
2020-09-26,150245.7017157278,0.4469387978331891,52.715100857430436
2020-10-03,130550.3862516672,0.25363434880686014,36.37928816720243
2020-10-15,144640.97938743778,0.1893104708513928,37.027660304303204
2020-10-22,43884.41517277779,0.18637279494289818,33.332268018184536
2020-11-11,26418.40149583029,0.22328182150409961,56.01449772573345
2020-11-13,25343.62241743167,0.1910441358571641,34.004249597168936
2020-11-26,30085.067483241408,0.23561480981149863,58.07291705910028
2020-12-03,52212.5386522334,0.19397742928625727,24.24583230664021
2020-12-09,27054.139288890434,0.179403507192717,32.68280050246409
2021-01-13,51161.67792230338,0.24126631982890412,35.370449449042844
2021-01-14,40960.059067494134,0.18740589368124833,49.936338482470596
2021-01-20,32609.10448640096,0.1405132013074237,52.813028522901234
2021-01-22,28406.290254520496,0.1749604699691687,47.21175650646043
2021-01-26,26139.52721248211,0.10078704500125632,45.309945272822205
2021-01-27,30603.371073543156,0.1,17.889838002375434
2021-02-01,55033.35965906445,0.17161402669911457,43.54732725768519
2021-02-05,30645.520686337113,0.2225539937842775,47.2958645336062
2021-02-10,41957.03371571599,0.1,27.610519531335903
2021-02-22,36235.04954534151,0.16678006574587584,26.30554503132302
2021-03-17,28956.885337012616,0.18477117622178885,53.43756073707071
2021-03-31,31146.754294472405,0.2977000881746601,42.77275373754015
2021-04-04,27571.391479069425,0.1765060809521706,24.448276025010635
